idx,gid,rayon_id,rayon_en,rayon_ru,oblast_id,oblast_en,oblast_ru,country_id
78,78,1722212,Djarkurgan,Джаркурганский,1722,Surkhandarya,Сурхандарьинская,UZB
248,248,3503209,Spitamen,Спитаменский,3503,Sogd,Согдийская,TJK
115,115,3502221,Jilikul,Джиликульский,3502,Khatlon,Хатлонская,TJK
4165,161,1735215,Kungrad,Кунградский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
3918,222,3906219,S.Turkmenbashi,С.Туркменбаши,3906,Dashhovuz,Дашховузская,TKM
777,161,1735215,Kungrad,Кунградский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
199,199,1958207,Ordabasin,Ордабасынский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
2192,36,3305214,Batken,Баткенский,3305,Batken,Баткенский,KGZ
155,155,3503206,Konibodom,Канибадамский,3503,Sogd,Согдийская,TJK
41,41,3303213,Bazar-Korgon,Базар-Коргонский,3303,Djalal-Abad,Джалал-Абадская,KGZ
3547,159,1722214,Kumkurgan,Кумкурганский,1722,Surkhandarya,Сурхандарьинская,UZB
262,262,1958246,Turkistan,Туркистан г.а.,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
104,104,3502227,Hamadoni,Хамадони,3502,Khatlon,Хатлонская,TJK
1249,17,5006017,Aqcha,Aqcha,5006,Jawzjan,Jawzjan,AFG
2621,157,1718216,Koshrabad,Нарпайский,1718,Samarkand,Самаркандская,UZB
165,165,1730408,Kuvasay,Кувасайский,1730,Fergana,Ферганская,UZB
5471,235,1710245,Shahrisabz,Шахрисабский,1710,Qashkadarya,Кашкадарьинская,UZB
167,167,1712216,Kyzyltepa,Кызылтепинский,1712,Navoi,Навоийская,UZB
15,15,1703203,Andijan,Андижанский,1703,Andijan,Андижанская,UZB
4634,14,1735204,Amudarya,Амударьинский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
245,245,1735243,Shumanay,Шуманайский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
3598,210,1706240,Peshku,Пешкунский,1706,Bukhara,Бухарская,UZB
246,246,1722226,Shurchi,Шурчинский,1722,Surkhandarya,Сурхандарьинская,UZB
109,109,1718212,Ishtykhan,Иштыханский,1718,Samarkand,Самаркандская,UZB
61,61,1735240,Chimbay,Чимбайский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
978,54,1718206,Bulungur,Булунгурский,1718,Samarkand,Самаркандская,UZB
963,39,3907202,Bayramaly,Байрамалыйский,3907,Mary,Марыйская,TKM
3932,236,3502236,Shahrtuz,Шартузский,3502,Khatlon,Хатлонская,TJK
118,118,1706219,Kagan,Каганский,1706,Bukhara,Бухарская,UZB
179,179,1724228,Mirzaabad,Мирзаабдский,1724,Sirdarya,Сырдарьинская,UZB
1385,153,1727248,Kibray,Кибрайский,1727,Tashkent region,Ташкентская,UZB
28,28,1730209,Bagdad,Багадский,1730,Fergana,Ферганская,UZB
204,204,1708228,Pakhtakor,Пахтакорский,1708,Djizakh,Джизакская,UZB
90,90,1730231,Furkat,Фуркатский,1730,Fergana,Ферганская,UZB
1148,224,1718233,Samarkand,Самаркандский,1718,Samarkand,Самаркандская,UZB
2653,189,1712230,Navbahor,Навбвхорский,1712,Navoi,Навоийская,UZB
3756,60,1714236,Chartak,Чартакский,1714,Namangan,Наманганская,UZB
138,138,1735212,Kegeyli,Кегейлийский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
3505,117,3305258,Kadamjay,Кадамжайский,3305,Batken,Баткенский,KGZ
3217,137,1958226,Kazygurt,Кызыгуртский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
9,9,1706204,Alat,Алатский,1706,Bukhara,Бухарская,UZB
3361,281,3502218,Vose',Восейский,3502,Khatlon,Хатлонская,TJK
11,11,1730203,Altyaryk,Алтыарыкский,1730,Fergana,Ферганская,UZB
1548,8,3303204,Ala-Buka,Ала-Букинский,3303,Djalal-Abad,Джалал-Абадская,KGZ
55,55,1730212,Buvayda,Бувайдинский,1730,Fergana,Ферганская,UZB
296,296,1708220,Zarbdar,Зарбдарский,1708,Djizakh,Джизакская,UZB
240,240,1733230,Shavat,Шаватский,1733,Khorezm,Хорезмская,UZB
271,271,1727253,Urtachirchik,Уртачирчикский,1727,Tashkent region,Ташкентская,UZB
3335,255,5005033,Taluqan,Taluqan,5005,Takhar,Takhar,AFG
53,53,1703237,Bulakbashi,Булакбашинский,1703,Andijan,Андижанская,UZB
4579,267,1714234,Uchkurgan,Учкурганский,1714,Namangan,Наманганская,UZB
1381,149,1735236,Khodjeyli,Ходжейлийский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
163,163,1730206,Kushtepa,Куштепинский,1730,Fergana,Ферганская,UZB
785,169,3305236,Leylek,Лейлекский,3305,Batken,Баткенский,KGZ
2431,275,1722221,Uzun,Узунский,1722,Surkhandarya,Сурхандарьинская,UZB
1360,128,1735211,Karauzyak,Караузякский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
186,186,1714212,Namangan,Наманганский,1714,Namangan,Наманганская,UZB
4299,295,3503204,Zafarobod,Зафарабадский,3503,Sogd,Согдийская,TJK
256,256,1730227,Tashlak,Ташлакский,1730,Fergana,Ферганская,UZB
1218,294,1708225,Zafarabad,Зафарабадский,1708,Djizakh,Джизакская,UZB
257,257,1718234,Taylak,Тайлакский,1718,Samarkand,Самаркандская,UZB
1029,105,1733220,Hazarasp,Хазараспский,1733,Khorezm,Хорезмская,UZB
2007,159,1722214,Kumkurgan,Кумкурганский,1722,Surkhandarya,Сурхандарьинская,UZB
3931,235,1710245,Shahrisabz,Шахрисабский,1710,Qashkadarya,Кашкадарьинская,UZB
2067,219,3509244,Rudaki,Рудакинский,3509,RPP,Районы Республиканского по,TJK
